count,delta,accelx,accely,accelz,pos1x,pos1y,pos1z,pos2x,pos2y,pos2z,gforcex,gforcey,gforcez
113,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.657143,-7.000000,-5.000000,5.695238,-7.000000,0.000000,-1.000000,0.000000
114,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.619048,-7.000000,-5.000000,5.657143,-7.000000,0.000000,-1.000000,0.000000
115,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.580953,-7.000000,-5.000000,5.619048,-7.000000,0.000000,-1.000000,0.000000
116,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.542857,-7.000000,-5.000000,5.580953,-7.000000,0.000000,-1.000000,0.000000
117,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.504762,-7.000000,-5.000000,5.542857,-7.000000,0.000000,-1.000000,0.000000
118,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.466667,-7.000000,-5.000000,5.504762,-7.000000,0.000000,-1.000000,0.000000
119,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.428572,-7.000000,-5.000000,5.466667,-7.000000,0.000000,-1.000000,0.000000
120,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.390476,-7.000000,-5.000000,5.428572,-7.000000,0.000000,-1.000000,0.000000
121,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.352381,-7.000000,-5.000000,5.390476,-7.000000,0.000000,-1.000000,0.000000
122,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.314286,-7.000000,-5.000000,5.352381,-7.000000,0.000000,-1.000000,0.000000
123,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.276191,-7.000000,-5.000000,5.314286,-7.000000,0.000000,-1.000000,0.000000
124,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.238095,-7.000000,-5.000000,5.276191,-7.000000,0.000000,-1.000000,0.000000
125,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.200000,-7.000000,-5.000000,5.238095,-7.000000,0.000000,-1.000000,0.000000
126,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.161905,-7.000000,-5.000000,5.200000,-7.000000,0.000000,-1.000000,0.000000
127,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.123810,-7.000000,-5.000000,5.161905,-7.000000,0.000000,-1.000000,0.000000
128,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.085714,-7.000000,-5.000000,5.123810,-7.000000,0.000000,-1.000000,0.000000
129,0.020000,0.000000,-11.714780,0.000000,-5.000000,5.047619,-7.000000,-5.000000,5.085714,-7.000000,0.000000,-1.000000,0.000000
130,0.020000,0.000000,-11.714750,0.000000,-5.000000,5.009524,-7.000000,-5.000000,5.047619,-7.000000,0.000000,-1.000000,0.000000
131,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.971429,-7.000000,-5.000000,5.009524,-7.000000,0.000000,-1.000000,0.000000
132,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.933333,-7.000000,-5.000000,4.971429,-7.000000,0.000000,-1.000000,0.000000
133,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.895238,-7.000000,-5.000000,4.933333,-7.000000,0.000000,-1.000000,0.000000
134,0.020000,0.000000,-11.714730,0.000000,-5.000000,4.857143,-7.000000,-5.000000,4.895238,-7.000000,0.000000,-1.000000,0.000000
135,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.819048,-7.000000,-5.000000,4.857143,-7.000000,0.000000,-1.000000,0.000000
136,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.780952,-7.000000,-5.000000,4.819048,-7.000000,0.000000,-1.000000,0.000000
137,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.742857,-7.000000,-5.000000,4.780952,-7.000000,0.000000,-1.000000,0.000000
138,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.704762,-7.000000,-5.000000,4.742857,-7.000000,0.000000,-1.000000,0.000000
139,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.666667,-7.000000,-5.000000,4.704762,-7.000000,0.000000,-1.000000,0.000000
140,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.628572,-7.000000,-5.000000,4.666667,-7.000000,0.000000,-1.000000,0.000000
141,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.590476,-7.000000,-5.000000,4.628572,-7.000000,0.000000,-1.000000,0.000000
142,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.552381,-7.000000,-5.000000,4.590476,-7.000000,0.000000,-1.000000,0.000000
143,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.514286,-7.000000,-5.000000,4.552381,-7.000000,0.000000,-1.000000,0.000000
144,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.476191,-7.000000,-5.000000,4.514286,-7.000000,0.000000,-1.000000,0.000000
145,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.438095,-7.000000,-5.000000,4.476191,-7.000000,0.000000,-1.000000,0.000000
146,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.400000,-7.000000,-5.000000,4.438095,-7.000000,0.000000,-1.000000,0.000000
147,0.020000,0.000000,-11.714730,0.000000,-5.000000,4.361905,-7.000000,-5.000000,4.400000,-7.000000,0.000000,-1.000000,0.000000
148,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.323810,-7.000000,-5.000000,4.361905,-7.000000,0.000000,-1.000000,0.000000
149,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.285714,-7.000000,-5.000000,4.323810,-7.000000,0.000000,-1.000000,0.000000
150,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.247619,-7.000000,-5.000000,4.285714,-7.000000,0.000000,-1.000000,0.000000
151,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.209524,-7.000000,-5.000000,4.247619,-7.000000,0.000000,-1.000000,0.000000
152,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.171429,-7.000000,-5.000000,4.209524,-7.000000,0.000000,-1.000000,0.000000
153,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.133333,-7.000000,-5.000000,4.171429,-7.000000,0.000000,-1.000000,0.000000
154,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.095238,-7.000000,-5.000000,4.133333,-7.000000,0.000000,-1.000000,0.000000
155,0.020000,0.000000,-11.714750,0.000000,-5.000000,4.057143,-7.000000,-5.000000,4.095238,-7.000000,0.000000,-1.000000,0.000000
156,0.020000,0.000000,-11.714780,0.000000,-5.000000,4.019048,-7.000000,-5.000000,4.057143,-7.000000,0.000000,-1.000000,0.000000
157,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.980953,-7.000000,-5.000000,4.019048,-7.000000,0.000000,-1.000000,0.000000
158,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.942857,-7.000000,-5.000000,3.980953,-7.000000,0.000000,-1.000000,0.000000
159,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.904762,-7.000000,-5.000000,3.942857,-7.000000,0.000000,-1.000000,0.000000
160,0.020000,0.000000,-11.714740,0.000000,-5.000000,3.866667,-7.000000,-5.000000,3.904762,-7.000000,0.000000,-1.000000,0.000000
161,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.828572,-7.000000,-5.000000,3.866667,-7.000000,0.000000,-1.000000,0.000000
162,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.790476,-7.000000,-5.000000,3.828572,-7.000000,0.000000,-1.000000,0.000000
163,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.752381,-7.000000,-5.000000,3.790476,-7.000000,0.000000,-1.000000,0.000000
164,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.714286,-7.000000,-5.000000,3.752381,-7.000000,0.000000,-1.000000,0.000000
165,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.676191,-7.000000,-5.000000,3.714286,-7.000000,0.000000,-1.000000,0.000000
166,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.638095,-7.000000,-5.000000,3.676191,-7.000000,0.000000,-1.000000,0.000000
167,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.600000,-7.000000,-5.000000,3.638095,-7.000000,0.000000,-1.000000,0.000000
168,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.561905,-7.000000,-5.000000,3.600000,-7.000000,0.000000,-1.000000,0.000000
169,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.523810,-7.000000,-5.000000,3.561905,-7.000000,0.000000,-1.000000,0.000000
170,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.485714,-7.000000,-5.000000,3.523810,-7.000000,0.000000,-1.000000,0.000000
171,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.447619,-7.000000,-5.000000,3.485714,-7.000000,0.000000,-1.000000,0.000000
172,0.020000,0.000000,-11.714740,0.000000,-5.000000,3.409524,-7.000000,-5.000000,3.447619,-7.000000,0.000000,-1.000000,0.000000
173,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.371429,-7.000000,-5.000000,3.409524,-7.000000,0.000000,-1.000000,0.000000
174,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.333333,-7.000000,-5.000000,3.371429,-7.000000,0.000000,-1.000000,0.000000
175,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.295238,-7.000000,-5.000000,3.333333,-7.000000,0.000000,-1.000000,0.000000
176,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.257143,-7.000000,-5.000000,3.295238,-7.000000,0.000000,-1.000000,0.000000
177,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.219048,-7.000000,-5.000000,3.257143,-7.000000,0.000000,-1.000000,0.000000
178,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.180953,-7.000000,-5.000000,3.219048,-7.000000,0.000000,-1.000000,0.000000
179,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.142857,-7.000000,-5.000000,3.180953,-7.000000,0.000000,-1.000000,0.000000
180,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.104762,-7.000000,-5.000000,3.142857,-7.000000,0.000000,-1.000000,0.000000
181,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.066667,-7.000000,-5.000000,3.104762,-7.000000,0.000000,-1.000000,0.000000
182,0.020000,0.000000,-11.714760,0.000000,-5.000000,3.028572,-7.000000,-5.000000,3.066667,-7.000000,0.000000,-1.000000,0.000000
183,0.020000,0.000000,-11.714760,0.000000,-5.000000,2.990476,-7.000000,-5.000000,3.028572,-7.000000,0.000000,-1.000000,0.000000
184,0.020000,0.000000,-11.714760,0.000000,-5.000000,2.952381,-7.000000,-5.000000,2.990476,-7.000000,0.000000,-1.000000,0.000000
185,0.020000,0.000000,-11.714740,0.000000,-5.000000,2.914286,-7.000000,-5.000000,2.952381,-7.000000,0.000000,-1.000000,0.000000
186,0.020000,0.000000,-11.714760,0.000000,-5.000000,2.876191,-7.000000,-5.000000,2.914286,-7.000000,0.000000,-1.000000,0.000000
